Webpage,Run,FID,Type,RangeMin,RangeMax,XPath1,Xpath2,ClassNarrower,ClassMin,ClassMid,ClassMax,ClassWider
willmyphonework.net/AdvanceLookup,1,1,Element-Protrusion,1100,1199,/HTML/BODY/DIV[2]/SECTION/DIV/DIV[2]/DIV/DIV[2]/DIV/DIV/BUTTON,/HTML/BODY/DIV[2]/SECTION/DIV/DIV[2]/DIV/DIV[2]/DIV/DIV,TP,TP,TP,TP,FP
willmyphonework.net/AdvanceLookup,1,2,Element-Protrusion,1100,1199,/HTML/BODY/DIV[2]/SECTION/DIV/DIV[2]/DIV/DIV[2]/DIV[2]/DIV/BUTTON,/HTML/BODY/DIV[2]/SECTION/DIV/DIV[2]/DIV/DIV[2]/DIV[2]/DIV,TP,TP,TP,TP,FP
willmyphonework.net/AdvanceLookup,1,3,Element-Protrusion,1100,1199,/HTML/BODY/DIV[2]/SECTION/DIV/DIV[2]/DIV/DIV[2]/DIV/DIV[3]/BUTTON,/HTML/BODY/DIV[2]/SECTION/DIV/DIV[2]/DIV/DIV[2],TP,TP,TP,TP,FP
willmyphonework.net/AdvanceLookup,1,4,Element-Protrusion,1100,1199,/HTML/BODY/DIV[2]/SECTION/DIV/DIV[2]/DIV/DIV[2]/DIV[2]/DIV[3]/BUTTON,/HTML/BODY/DIV[2]/SECTION/DIV/DIV[2]/DIV/DIV[2],TP,TP,TP,TP,FP
willmyphonework.net/AdvanceLookup,1,5,Element-Protrusion,1100,1199,/HTML/BODY/DIV[2]/SECTION/DIV/DIV[2]/DIV/DIV[2]/DIV/DIV[2]/BUTTON,/HTML/BODY/DIV[2]/SECTION/DIV/DIV[2]/DIV/DIV[2]/DIV/DIV[2],TP,TP,TP,TP,FP
willmyphonework.net/AdvanceLookup,1,6,Element-Protrusion,1100,1199,/HTML/BODY/DIV[2]/SECTION/DIV/DIV[2]/DIV/DIV[2]/DIV[2]/DIV[2]/BUTTON,/HTML/BODY/DIV[2]/SECTION/DIV/DIV[2]/DIV/DIV[2]/DIV[2]/DIV[2],TP,TP,TP,TP,FP
