Webpage,Run,FID,Type,RangeMin,RangeMax,XPath1,Xpath2,ClassNarrower,ClassMin,ClassMid,ClassMax,ClassWider
192.168.0.108-8080/,1,1,Element-Protrusion,330,524,/HTML/BODY/DIV/DIV/DIV/DIV/DIV[2]/DIV/DIV/DIV[2]/DIV[3]/DIV/DIV[3],/HTML/BODY/DIV/DIV/DIV/DIV/DIV[2]/DIV/DIV/DIV[2]/DIV[3]/DIV/DIV[2]/IMG,TP,TP,TP,TP,FP
192.168.0.108-8080/,1,2,Element-Protrusion,330,524,/HTML/BODY/DIV/DIV/DIV/DIV/DIV[2]/DIV/DIV/DIV[2]/DIV[2]/DIV/DIV[3],/HTML/BODY/DIV/DIV/DIV/DIV/DIV[2]/DIV/DIV/DIV[2]/DIV[2]/DIV/DIV[2]/IMG,TP,TP,TP,TP,FP
192.168.0.108-8080/,1,3,Element-Collision,876,1075,/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV[3]/DIV[3],/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV[3]/DIV[3]/DIV/DIV,TP,TP,TP,TP,FP
192.168.0.108-8080/,1,4,Wrapping,320,376,/HTML/BODY/DIV/DIV/DIV/DIV[2]/DIV/DIV/DIV[2]/DIV/DIV/DIV/A[4],/HTML/BODY/DIV/DIV/DIV/DIV[2]/DIV/DIV/DIV[2]/DIV/DIV/DIV/A,TP,TP,TP,TP,FP
192.168.0.108-8080/,1,5,Element-Collision,539,546,/HTML/BODY/DIV/DIV/DIV/DIV[2],/HTML/BODY/DIV/DIV/DIV/DIV,FP,TP,TP,TP,FP
