Webpage,Run,FID,Type,RangeMin,RangeMax,XPath1,Xpath2,ClassNarrower,ClassMin,ClassMid,ClassMax,ClassWider
192.168.0.108/,1,1,Element-Protrusion,992,1199,/HTML/BODY/DIV[3]/DIV/DIV[2]/DIV/DIV/DIV/DIV[11],/HTML/BODY/DIV[3]/DIV/DIV[2]/DIV,FP,TP,TP,TP,FP
192.168.0.108/,1,2,Element-Protrusion,992,1199,/HTML/BODY/DIV[3]/DIV/DIV[2]/DIV/CANVAS[2],/HTML/BODY/DIV[3]/DIV/DIV[2]/DIV,FP,TP,TP,TP,FP
192.168.0.108/,1,4,Element-Protrusion,1138,1199,/HTML/BODY/DIV[3]/DIV/DIV[2]/DIV/CANVAS,/HTML/BODY/DIV[3],TP,TP,TP,TP,FP
192.168.0.108/,1,3,Viewport-Protrusion,992,1137,/HTML/BODY/DIV[3]/DIV/DIV[2]/DIV/CANVAS,/HTML/BODY,FP,TP,TP,TP,FP
