Webpage,Run,FID,Type,RangeMin,RangeMax,XPath1,Xpath2,ClassNarrower,ClassMin,ClassMid,ClassMax,ClassWider
192.168.0.108-8080/,1,1,Element-Protrusion,320,479,/HTML/BODY/DIV[4]/DIV/DIV/DIV/DIV[2]/DIV/DIV/DIV[3],/HTML/BODY/DIV[4]/DIV/DIV/DIV/DIV[2]/DIV/DIV,TP,TP,TP,TP,FP
192.168.0.108-8080/,1,3,Element-Protrusion,842,959,/HTML/BODY/DIV[4]/DIV[3]/DIV/DIV[2]/DIV[4]/DIV,/HTML/BODY/DIV[4]/DIV[3]/DIV/DIV[2],TP,TP,TP,TP,FP
192.168.0.108-8080/,1,2,Viewport-Protrusion,768,841,/HTML/BODY/DIV[4]/DIV[3]/DIV/DIV[2]/DIV[4]/DIV,/HTML/BODY,FP,TP,TP,TP,FP
192.168.0.108-8080/,1,4,Viewport-Protrusion,320,800,/HTML/BODY/DIV[3]/DIV/DIV,/HTML/BODY,TP,TP,TP,TP,FP
192.168.0.108-8080/,1,5,Element-Protrusion,320,805,/HTML/BODY/DIV[3]/DIV/DIV[2],/HTML/BODY/DIV[3],TP,TP,TP,TP,FP
192.168.0.108-8080/,1,6,Viewport-Protrusion,768,768,/HTML/BODY/DIV[4]/DIV[2]/DIV,/HTML/BODY,FP,TP,TP,TP,FP
192.168.0.108-8080/,1,7,Viewport-Protrusion,960,960,/HTML/BODY/DIV[4]/DIV[2]/DIV,/HTML/BODY,FP,TP,TP,TP,FP
