Webpage,Run,FID,Type,RangeMin,RangeMax,XPath1,Xpath2,ClassNarrower,ClassMin,ClassMid,ClassMax,ClassWider
192.168.0.108/,1,6,Element-Protrusion,1036,1037,/HTML/BODY/DIV/DIV[2]/DIV/DIV[2]/DIV/DIV[2]/DIV/DIV,/HTML/BODY/DIV/DIV[2]/DIV/DIV[2]/DIV/DIV[2],TP,TP,TP,TP,FP
192.168.0.108/,1,7,Element-Protrusion,527,527,/HTML/BODY/DIV/DIV[2]/DIV/DIV[2]/DIV/DIV[2]/DIV/DIV,/HTML/BODY/DIV/DIV[2]/DIV/DIV[2]/DIV/DIV[2],TP,TP,TP,TP,FP
192.168.0.108/,1,8,Element-Protrusion,768,1035,/HTML/BODY/DIV/DIV[2]/DIV/DIV[2]/DIV/DIV[2]/DIV/DIV,/HTML/BODY/DIV/DIV[2]/DIV/DIV[2],FP,TP,TP,TP,FP
192.168.0.108/,1,9,Element-Protrusion,507,526,/HTML/BODY/DIV/DIV[2]/DIV/DIV[2]/DIV/DIV[2]/DIV/DIV,/HTML/BODY/DIV,TP,TP,TP,TP,FP
192.168.0.108/,1,5,Viewport-Protrusion,350,506,/HTML/BODY/DIV/DIV[2]/DIV/DIV[2]/DIV/DIV[2]/DIV/DIV,/HTML/BODY,TP,TP,TP,TP,FP
192.168.0.108/,1,10,Element-Protrusion,768,1222,/HTML/BODY/DIV/DIV[2]/DIV/DIV/FORM/DIV,/HTML/BODY/DIV/DIV[2]/DIV/DIV,FP,TP,TP,TP,FP
