Webpage,Run,FID,Type,RangeMin,RangeMax,XPath1,Xpath2,ClassNarrower,ClassMin,ClassMid,ClassMax,ClassWider
192.168.0.108/,1,1,Element-Protrusion,320,357,/HTML/BODY/DIV[5]/DIV[2]/DIV/DIV/A,/HTML/BODY/DIV[5]/DIV[2]/DIV/DIV,TP,TP,TP,TP,FP
192.168.0.108/,1,2,Element-Protrusion,767,767,/HTML/BODY/DIV[5]/DIV,/HTML/BODY/DIV[5],FP,FP,FP,FP,FP
192.168.0.108/,1,3,Element-Protrusion,767,767,/HTML/BODY/DIV[5]/DIV/DIV,/HTML/BODY/DIV[5],FP,FP,FP,FP,FP
192.168.0.108/,1,4,Element-Protrusion,767,767,/HTML/BODY/DIV[5]/DIV/DIV,/HTML/BODY/DIV[5]/DIV,FP,FP,FP,FP,FP
192.168.0.108/,1,5,Element-Protrusion,767,767,/HTML/BODY/DIV[5]/DIV[2]/DIV,/HTML/BODY/DIV[5]/DIV[2],FP,FP,FP,FP,FP
192.168.0.108/,1,6,Element-Protrusion,320,385,/HTML/BODY/DIV[4]/DIV/DIV[2]/DIV/DIV[2]/FORM/INPUT,/HTML/BODY/DIV[4]/DIV/DIV[2],TP,TP,TP,TP,FP
192.168.0.108/,1,7,Element-Protrusion,767,767,/HTML/BODY/DIV[4]/DIV[2]/A,/HTML/BODY/DIV[4]/DIV[2],FP,FP,FP,FP,FP
192.168.0.108/,1,8,Element-Protrusion,320,385,/HTML/BODY/DIV[4]/DIV/DIV[2]/DIV/DIV/FORM/INPUT,/HTML/BODY/DIV[4]/DIV/DIV[2],TP,TP,TP,TP,FP
