Webpage,Run,FID,Type,RangeMin,RangeMax,XPath1,Xpath2,ClassNarrower,ClassMin,ClassMid,ClassMax,ClassWider
192.168.0.108-8080/,1,1,Element-Collision,320,680,/HTML/BODY/HEADER,/HTML/BODY/DIV,TP,TP,TP,TP,FP
192.168.0.108-8080/,1,3,Element-Protrusion,698,707,/HTML/BODY/HEADER/DIV/DIV/H1,/HTML/BODY/HEADER/DIV/DIV,TP,TP,TP,TP,FP
192.168.0.108-8080/,1,2,Viewport-Protrusion,681,697,/HTML/BODY/HEADER/DIV/DIV/H1,/HTML/BODY,FP,TP,TP,TP,FP
